"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231579.57142,8183756.464978,720,0,0,0,0,0,1,0,43,0
231581.229002,8183603.36215,713,0,1,0,1,1,1,0,36,0
231581.506382,8183658.07333,713,0,0,0,1,0,1,0,18,0
231581.53031,8183703.030133,720,0,1,1,1,0,1,1,39,0
231581.6807,8183521.025353,709,0,1,0,1,0,1,0,36,0
231581.90849,8183432.580822,707,0,1,1,1,1,1,0,28,0
231582.768223,8183833.741792,722,0,0,0,0,0,0,0,39,0
231582.810642,8183764.338642,720,0,1,0,1,1,1,0,35,0
231583.986193,8183607.769888,713,0,0,0,1,1,1,0,35,0
231583.994043,8183666.800753,713,0,0,0,1,0,1,0,35,0
231585.726929,8183612.122813,713,0,1,1,1,1,1,0,39,0
231585.807476,8183489.610353,709,0,0,0,0,0,0,0,39,0
231586.287892,8183460.216244,707,0,0,0,1,1,1,0,18,0
231586.611778,8183674.929766,713,0,0,0,0,0,0,0,35,0
231586.690182,8183712.198879,720,0,1,0,1,0,1,0,18,0
231586.714614,8183929.445516,722,0,1,0,1,1,1,0,39,0
231586.714653,8183845.379134,722,0,0,0,0,0,0,0,32,0
231587.294272,8183617.144256,713,0,0,0,0,0,0,0,35,0
231588.712,8183910.53587,722,0,0,0,0,0,0,0,35,0
231588.810312,8183856.783321,722,0,0,0,1,1,1,0,43,0
231588.925858,8183621.201074,713,0,0,0,1,1,1,0,28,0
231588.996893,8183515.500109,709,0,0,1,1,1,1,0,34,0
231589.276023,8183432.316424,707,0,0,0,0,0,0,0,43,0
231589.309374,8183893.716346,722,0,0,0,0,0,0,0,20,0
231589.387027,8183721.490933,720,0,0,1,1,1,1,0,28,0
231589.420255,8183921.000411,722,0,0,0,1,0,1,0,35,0
231589.598824,8183902.402996,722,0,0,0,0,0,0,0,32,0
231590.395274,8183885.807554,722,0,0,0,1,1,1,0,35,0
231590.748827,8183878.717915,722,0,1,0,1,0,1,0,20,0
231591.026612,8183870.547942,722,0,1,0,1,0,1,0,20,0
231591.103805,8183730.54567,720,0,0,0,1,1,1,0,28,0
231592.228537,8183626.546594,713,0,1,1,1,0,1,0,36,0
231592.884529,8183512.717516,709,0,0,1,1,0,1,0,39,0
231594.495041,8183484.741035,709,0,0,0,0,0,0,0,39,0
231594.906305,8183671.22738,713,0,0,0,0,0,0,0,20,0
231595.115871,8183737.853863,720,0,1,0,1,1,1,0,28,0
231595.764514,8183629.564874,713,0,0,0,1,0,1,0,18,0
231596.358644,8183457.489095,707,1,0,1,1,0,1,0,34,0
231596.534186,8183695.630331,718,0,0,0,0,0,0,0,43,0
231596.859054,8183757.773731,720,0,0,0,0,0,0,0,43,0
231597.135214,8183509.919851,709,0,0,0,1,1,1,0,18,0
231597.517552,8183394.025245,702,0,0,0,0,0,0,0,20,0
231598.549092,8183429.444957,707,0,0,0,0,0,0,0,35,0
231598.815716,8183637.135936,713,0,1,0,1,1,1,0,28,0
231599.922165,8183482.466647,709,0,0,0,0,0,0,0,32,0
231600.324744,8183381.547832,702,0,0,0,0,0,0,0,20,0
231600.421735,8183745.613732,720,0,1,1,1,0,1,0,39,0
231600.80726,8183644.85935,713,0,0,0,1,1,1,0,32,0
231601.545116,8183507.455478,709,0,0,0,0,0,0,0,35,0
231601.87517,8183663.496126,713,0,0,0,1,0,1,0,35,0
231603.581662,8183648.814521,713,0,0,0,0,0,0,0,32,0
231603.792935,8183375.14743,702,0,0,0,0,0,0,0,32,0
231604.103378,8183693.480806,718,0,0,0,0,0,0,0,39,0
231605.152427,8183400.802567,702,1,0,1,1,1,1,0,28,0
231605.152569,8183656.273096,713,0,1,0,1,1,1,0,34,0
231605.444547,8183455.709861,707,0,0,1,1,1,1,0,38,0
231605.752832,8183367.658393,702,0,0,0,0,0,0,0,35,0
231605.950792,8183754.82039,720,0,1,1,0,0,1,0,43,0
231606.741805,8183505.246827,709,0,0,0,0,0,0,0,20,0
231608.477543,8183479.735918,709,0,1,1,0,0,1,0,43,0
231608.91289,8183427.540898,707,0,0,0,0,0,0,0,38,0
231609.421296,8183356.18007,702,0,0,0,0,0,0,0,43,0
231611.225812,8183350.935553,702,0,0,0,0,0,0,0,39,0
231612.215503,8183686.793126,718,0,0,0,0,0,0,0,32,0
231612.737865,8183403.046399,702,0,1,0,1,1,1,0,28,0
231612.745585,8183347.976849,702,0,0,0,0,0,0,0,32,0
231613.428891,8183504.966421,709,0,0,0,0,0,0,0,32,0
231615.328915,8183428.536005,707,0,0,0,0,0,0,0,39,0
